FIRST,FOLLOW,Nonterminal,IDENTIFIER,OPAR,CPAR,OKEY,CKEY,COMMA,MAIN,FOR,DOTCOMMA,OPINC,OPDC,IF,ELSE,PRINT,RETURN,ASSIGN,PLUS,MINUS,AND,OR,EQUAL,NOTEQUAL,GREATERTH,LESSTH,GREATEQTH,LESSEQTH,MULT,DIV,MOD,NOT,VINTEGER,VFLOAT,VSTRING,VCHAR,VTRUE,VFALSE,DTINTEGER,DTFLOAT,DTSTRING,DTCHAR,DTBOOL,DTVOID,$
"MAIN, ε, DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",$,PROGRAM,,,,,,,MAIN',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCTION',FUNCTION',FUNCTION',FUNCTION',FUNCTION',FUNCTION',ε
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",$,FUNCTION',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,DATATYPE IDENTIFIER OPAR PARAMETERS CPAR OKEY STATEMENTS LOOPS IFELSES CKEY,
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",CPAR,PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,PARAMETER MORE_PARAMETERS,
"COMMA, ε",CPAR,MORE_PARAMETERS,,,ε,,,COMMA PARAMETER MORE_PARAMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID","CPAR, COMMA",PARAMETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,DATATYPE IDENTIFIER,
"MAIN, ε",$,MAIN',,,,,,,MAIN OKEY STATEMENTS LOOPS IFELSES CKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
"FOR, ε","OKEY, $, CKEY, IF",LOOPS,,,,ε,ε,,,FOR OPAR ASSIGNMENT CONDITION UPDATE CPAR LOOPS OKEY STATEMENTS LOOPS IFELSES CKEY,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER, OPAR, NOT",IDENTIFIER,CONDITION,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,EXPRESSION DOTCOMMA,,,,,,,
IDENTIFIER,CPAR,UPDATE,INCREMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFIER,CPAR,INCREMENT,IDENTIFIER OPUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
